movie_id,title,genres,overview
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,A Crime and Drama film.
31,Dangerous Minds (1995),Drama,A Drama film.
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"The presidencies of Kennedy and Johnson, the Vietnam War, and other historical events unfold from the perspective of an Alabama man."
34,Babe (1995),Children|Drama,A Children and Drama film.
36,Dead Man Walking (1995),Crime|Drama,A Crime and Drama film.
38,It Takes Two (1995),Children|Comedy,A Children and Comedy film.
39,Clueless (1995),Comedy|Romance,A Comedy and Romance film.
40,"Cry, the Beloved Country (1995)",Drama,A Drama film.
41,Richard III (1995),Drama|War,A Drama and War film.
42,Dead Presidents (1995),Action|Crime|Drama,A Action and Crime and Drama film.
43,Restoration (1995),Drama,A Drama film.
44,Mortal Kombat (1995),Action|Adventure|Fantasy,A Action and Adventure and Fantasy film.
45,To Die For (1995),Comedy|Drama|Thriller,A Comedy and Drama and Thriller film.
46,How to Make an American Quilt (1995),Drama|Romance,A Drama and Romance film.
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,A Animation and Children and Drama and Musical and Romance film.
49,When Night Is Falling (1995),Drama|Romance,A Drama and Romance film.
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,A woman rebels against a tyrannical ruler in postapocalyptic Australia in search of her homeland.
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
53,Lamerica (1994),Adventure|Drama,A Adventure and Drama film.
54,"Big Green, The (1995)",Children|Comedy,A Children and Comedy film.
55,Georgia (1995),Drama,A Drama film.
57,Home for the Holidays (1995),Drama,A Drama film.
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,A Comedy and Drama and Romance film.
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,A Adventure and Children and Fantasy film.
61,Eye for an Eye (1996),Drama|Thriller,A Drama and Thriller film.
62,Mr. Holland's Opus (1995),Drama,A Drama film.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,A Comedy and Crime film.
64,Two if by Sea (1996),Comedy|Romance,A Comedy and Romance film.
65,Bio-Dome (1996),Comedy,A Comedy film.
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,A Action and Sci-Fi and Thriller film.
68,French Twist (Gazon maudit) (1995),Comedy|Romance,A Comedy and Romance film.
69,Friday (1995),Comedy,A Comedy film.
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,A Action and Comedy and Horror and Thriller film.
71,Fair Game (1995),Action,A Action film.
72,Kicking and Screaming (1995),Comedy|Drama,A Comedy and Drama film.
73,"Misérables, Les (1995)",Drama|War,A Drama and War film.
74,Bed of Roses (1996),Drama|Romance,A Drama and Romance film.
75,Big Bully (1996),Comedy|Drama,A Comedy and Drama film.
76,Screamers (1995),Action|Sci-Fi|Thriller,A Action and Sci-Fi and Thriller film.
77,Nico Icon (1995),Documentary,A Documentary film.
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,A Action and Crime and Drama and Thriller film.
79,"Juror, The (1996)",Drama|Thriller,A Drama and Thriller film.
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,A Children and Drama film.
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,A Crime and Drama and Romance film.
82,Antonia's Line (Antonia) (1995),Comedy|Drama,A Comedy and Drama film.
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,A Drama and Romance film.
85,Angels and Insects (1995),Drama|Romance,A Drama and Romance film.
86,White Squall (1996),Action|Adventure|Drama,A Action and Adventure and Drama film.
87,Dunston Checks In (1996),Children|Comedy,A Children and Comedy film.
88,Black Sheep (1996),Comedy,A Comedy film.
89,Nick of Time (1995),Action|Thriller,A Action and Thriller film.
92,Mary Reilly (1996),Drama|Horror|Thriller,A Drama and Horror and Thriller film.
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,A Comedy and Horror and Romance film.
94,Beautiful Girls (1996),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
95,Broken Arrow (1996),Action|Adventure|Thriller,A Action and Adventure and Thriller film.
96,In the Bleak Midwinter (1995),Comedy|Drama,A Comedy and Drama film.
97,"Hate (Haine, La) (1995)",Crime|Drama,A Crime and Drama film.
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,A Documentary film.
100,City Hall (1996),Drama|Thriller,A Drama and Thriller film.
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,A Adventure and Comedy and Crime and Romance film.
102,Mr. Wrong (1996),Comedy,A Comedy film.
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,A Mystery and Sci-Fi and Thriller film.
104,Happy Gilmore (1996),Comedy,A Comedy film.
105,"Bridges of Madison County, The (1995)",Drama|Romance,A Drama and Romance film.
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,A Comedy and Drama film.
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,A Adventure and Children and Comedy and Musical film.
108,Catwalk (1996),Documentary,A Documentary film.
110,Braveheart (1995),Action|Drama|War,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce."
111,Taxi Driver (1976),Crime|Drama|Thriller,A Crime and Drama and Thriller film.
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,A Action and Adventure and Comedy and Crime film.
113,Before and After (1996),Drama|Mystery,A Drama and Mystery film.
116,Anne Frank Remembered (1995),Documentary,A Documentary film.
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,A Crime and Drama film.
118,If Lucy Fell (1996),Comedy|Romance,A Comedy and Romance film.
119,"Steal Big, Steal Little (1995)",Comedy,A Comedy film.
121,"Boys of St. Vincent, The (1992)",Drama,A Drama film.
122,Boomerang (1992),Comedy|Romance,A Comedy and Romance film.
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,A Drama and Mystery and Romance film.
125,Flirting With Disaster (1996),Comedy,A Comedy film.
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,A Adventure and Children and Fantasy film.
128,Jupiter's Wife (1994),Documentary,A Documentary film.
129,Pie in the Sky (1996),Comedy|Romance,A Comedy and Romance film.
132,Jade (1995),Thriller,A Thriller film.
135,Down Periscope (1996),Comedy,A Comedy film.
137,Man of the Year (1995),Documentary,A Documentary film.
140,Up Close and Personal (1996),Drama|Romance,A Drama and Romance film.
141,"Birdcage, The (1996)",Comedy,A Comedy film.
144,"Brothers McMullen, The (1995)",Comedy,A Comedy film.
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,A Action and Comedy and Crime and Drama and Thriller film.
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,A Adventure and Children film.
147,"Basketball Diaries, The (1995)",Drama,A Drama film.
148,"Awfully Big Adventure, An (1995)",Drama,A Drama film.
149,Amateur (1994),Crime|Drama|Thriller,A Crime and Drama and Thriller film.
150,Apollo 13 (1995),Adventure|Drama|IMAX,A young F.B.I. cadet must receive the help of an incarcerated cannibal killer to catch another serial killer.
151,Rob Roy (1995),Action|Drama|Romance|War,A Action and Drama and Romance and War film.
152,"Addiction, The (1995)",Drama|Horror,A Drama and Horror film.
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,A Action and Adventure and Comedy and Crime film.
154,Beauty of the Day (Belle de jour) (1967),Drama,A Drama film.
155,Beyond Rangoon (1995),Adventure|Drama|War,A Adventure and Drama and War film.
156,Blue in the Face (1995),Comedy|Drama,A Comedy and Drama film.
157,Canadian Bacon (1995),Comedy|War,A Comedy and War film.
158,Casper (1995),Adventure|Children,A Adventure and Children film.
159,Clockers (1995),Crime|Drama|Mystery,A Crime and Drama and Mystery film.
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,A Action and Adventure and Mystery and Sci-Fi film.
161,Crimson Tide (1995),Drama|Thriller|War,A Drama and Thriller and War film.
162,Crumb (1994),Documentary,A Documentary film.
163,Desperado (1995),Action|Romance|Western,A Action and Romance and Western film.
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,A Crime and Film-Noir and Mystery and Thriller film.
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,A Action and Crime and Thriller film.
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,A Comedy and Crime and Drama film.
168,First Knight (1995),Action|Drama|Romance,A Action and Drama and Romance film.
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,A Adventure and Children and Drama film.
170,Hackers (1995),Action|Adventure|Crime|Thriller,A Action and Adventure and Crime and Thriller film.
171,Jeffrey (1995),Comedy|Drama,A Comedy and Drama film.
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,A Action and Sci-Fi and Thriller film.
173,Judge Dredd (1995),Action|Crime|Sci-Fi,A Action and Crime and Sci-Fi film.
174,Jury Duty (1995),Comedy,A Comedy film.
175,Kids (1995),Drama,A Drama film.
176,Living in Oblivion (1995),Comedy,A Comedy film.
177,Lord of Illusions (1995),Horror,A Horror film.
178,Love & Human Remains (1993),Comedy|Drama,A Comedy and Drama film.
179,Mad Love (1995),Drama|Romance,A Drama and Romance film.
180,Mallrats (1995),Comedy|Romance,A Comedy and Romance film.
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,A Action and Children film.
183,Mute Witness (1994),Comedy|Horror|Thriller,A Comedy and Horror and Thriller film.
184,Nadja (1994),Drama,A Drama film.
185,"Net, The (1995)",Action|Crime|Thriller,A Action and Crime and Thriller film.
186,Nine Months (1995),Comedy|Romance,A Comedy and Romance film.
187,Party Girl (1995),Comedy,A Comedy film.
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,A Fantasy and Horror and Mystery film.
189,Reckless (1995),Comedy|Fantasy,A Comedy and Fantasy film.
190,Safe (1995),Thriller,A Thriller film.
191,"Scarlet Letter, The (1995)",Drama|Romance,A Drama and Romance film.
193,Showgirls (1995),Drama,A Drama film.
194,Smoke (1995),Comedy|Drama,A Comedy and Drama film.
195,Something to Talk About (1995),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
196,Species (1995),Horror|Sci-Fi,A Horror and Sci-Fi film.
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,A Action and Crime and Drama and Mystery and Sci-Fi and Thriller film.
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,A Drama and Musical and Romance film.
201,Three Wishes (1995),Drama|Fantasy,A Drama and Fantasy film.
202,Total Eclipse (1995),Drama|Romance,A Drama and Romance film.
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,A Comedy film.
204,Under Siege 2: Dark Territory (1995),Action,A Action film.
205,Unstrung Heroes (1995),Comedy|Drama,A Comedy and Drama film.
206,Unzipped (1995),Documentary,A Documentary film.
207,"Walk in the Clouds, A (1995)",Drama|Romance,A Drama and Romance film.
208,Waterworld (1995),Action|Adventure|Sci-Fi,A Action and Adventure and Sci-Fi film.
209,White Man's Burden (1995),Drama,A Drama film.
210,Wild Bill (1995),Western,A Western film.
211,"Browning Version, The (1994)",Drama,A Drama film.
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,A Adventure and Comedy and Crime and Mystery film.
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,A Drama film.
214,Before the Rain (Pred dozhdot) (1994),Drama|War,A Drama and War film.
215,Before Sunrise (1995),Drama|Romance,A Drama and Romance film.
216,Billy Madison (1995),Comedy,A Comedy film.
217,"Babysitter, The (1995)",Drama|Thriller,A Drama and Thriller film.
218,Boys on the Side (1995),Comedy|Drama,A Comedy and Drama film.
219,"Cure, The (1995)",Drama,A Drama film.
220,Castle Freak (1995),Horror,A Horror film.
222,Circle of Friends (1995),Drama|Romance,A Drama and Romance film.
223,Clerks (1994),Comedy,A Comedy film.
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
225,Disclosure (1994),Drama|Thriller,A Drama and Thriller film.
227,Drop Zone (1994),Action|Thriller,A Action and Thriller film.
228,Destiny Turns on the Radio (1995),Comedy,A Comedy film.
229,Death and the Maiden (1994),Drama|Thriller,A Drama and Thriller film.
230,Dolores Claiborne (1995),Drama|Thriller,A Drama and Thriller film.
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,A Adventure and Comedy film.
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
233,Exotica (1994),Drama,A Drama film.
234,Exit to Eden (1994),Comedy,A Comedy film.
235,Ed Wood (1994),Comedy|Drama,A Comedy and Drama film.
236,French Kiss (1995),Action|Comedy|Romance,A Action and Comedy and Romance film.
237,Forget Paris (1995),Comedy|Romance,A Comedy and Romance film.
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,A Adventure and Children film.
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,A Animation and Children and Comedy and Romance film.
240,Hideaway (1995),Thriller,A Thriller film.
241,Fluke (1995),Children|Drama,A Children and Drama film.
242,Farinelli: il castrato (1994),Drama|Musical,A Drama and Musical film.
243,Gordy (1995),Children|Comedy|Fantasy,A Children and Comedy and Fantasy film.
246,Hoop Dreams (1994),Documentary,A Documentary film.
247,Heavenly Creatures (1994),Crime|Drama,A Crime and Drama film.
248,Houseguest (1994),Comedy,A Comedy film.
249,Immortal Beloved (1994),Drama|Romance,A Drama and Romance film.
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,A Children and Comedy film.
251,"Hunted, The (1995)",Action,A Action film.
252,I.Q. (1994),Comedy|Romance,A Comedy and Romance film.
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,A Drama and Horror film.
254,Jefferson in Paris (1995),Drama,A Drama film.
255,"Jerky Boys, The (1995)",Comedy,A Comedy film.
256,Junior (1994),Comedy|Sci-Fi,A Comedy and Sci-Fi film.
257,Just Cause (1995),Mystery|Thriller,A Mystery and Thriller film.
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,A Adventure and Children and Comedy and Fantasy and Romance film.
259,Kiss of Death (1995),Crime|Drama|Thriller,A Crime and Drama and Thriller film.
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,A Action and Adventure and Sci-Fi film.
261,Little Women (1994),Drama,A Drama film.
262,"Little Princess, A (1995)",Children|Drama,A Children and Drama film.
263,Ladybird Ladybird (1994),Drama,A Drama film.
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,A Drama and Fantasy and Romance film.
266,Legends of the Fall (1994),Drama|Romance|War|Western,A Drama and Romance and War and Western film.
267,Major Payne (1995),Comedy,A Comedy film.
269,My Crazy Life (Mi vida loca) (1993),Drama,A Drama film.
270,Love Affair (1994),Drama|Romance,A Drama and Romance film.
271,Losing Isaiah (1995),Drama,A Drama film.
272,"Madness of King George, The (1994)",Comedy|Drama,A Comedy and Drama film.
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,A Drama and Horror and Sci-Fi film.
274,Man of the House (1995),Comedy,A Comedy film.
275,Mixed Nuts (1994),Comedy,A Comedy film.
276,Milk Money (1994),Comedy|Romance,A Comedy and Romance film.
277,Miracle on 34th Street (1994),Drama,A Drama film.
278,Miami Rhapsody (1995),Comedy,A Comedy film.
279,My Family (1995),Drama,A Drama film.
280,Murder in the First (1995),Drama|Thriller,A Drama and Thriller film.
281,Nobody's Fool (1994),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
282,Nell (1994),Drama,A Drama film.
283,New Jersey Drive (1995),Crime|Drama,A Crime and Drama film.
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,A Action and Crime film.
285,Beyond Bedlam (1993),Drama|Horror,A Drama and Horror film.
287,Nina Takes a Lover (1994),Comedy|Romance,A Comedy and Romance film.
288,Natural Born Killers (1994),Action|Crime|Thriller,A Action and Crime and Thriller film.
289,Only You (1994),Comedy|Romance,A Comedy and Romance film.
290,Once Were Warriors (1994),Crime|Drama,A Crime and Drama film.
291,Poison Ivy II (1996),Drama|Thriller,A Drama and Thriller film.
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,A Action and Drama and Sci-Fi and Thriller film.
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,A Action and Crime and Drama and Thriller film.
294,"Perez Family, The (1995)",Comedy|Romance,A Comedy and Romance film.
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,A Comedy and Romance film.
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,A Comedy and Crime and Drama and Thriller film.
298,Pushing Hands (Tui shou) (1992),Drama,A Drama film.
299,Priest (1994),Drama,A Drama film.
300,Quiz Show (1994),Drama,A Drama film.
301,Picture Bride (Bijo photo) (1994),Drama|Romance,A Drama and Romance film.
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,A Drama and Romance film.
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,A Action and Thriller and Western film.
304,Roommates (1995),Comedy|Drama,A Comedy and Drama film.
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,A Comedy film.
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,A Drama film.
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,A Drama film.
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,A Comedy and Drama film.
310,Rent-a-Kid (1995),Comedy,A Comedy film.
311,Relative Fear (1994),Horror|Thriller,A Horror and Thriller film.
312,Stuart Saves His Family (1995),Comedy,A Comedy film.
313,"Swan Princess, The (1994)",Animation|Children,A Animation and Children film.
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,A Children and Drama and Fantasy and Mystery film.
315,"Specialist, The (1994)",Action|Drama|Thriller,A Action and Drama and Thriller film.
316,Stargate (1994),Action|Adventure|Sci-Fi,A Action and Adventure and Sci-Fi film.
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,A Comedy and Drama and Fantasy film.
318,"Shawshank Redemption, The (1994)",Crime|Drama,A Crime and Drama film.
319,Shallow Grave (1994),Comedy|Drama|Thriller,A Comedy and Drama and Thriller film.
320,Suture (1993),Film-Noir|Thriller,A Film-Noir and Thriller film.
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,A Drama film.
322,Swimming with Sharks (1995),Comedy|Drama,A Comedy and Drama film.
324,"Sum of Us, The (1994)",Comedy|Drama,A Comedy and Drama film.
325,National Lampoon's Senior Trip (1995),Comedy,A Comedy film.
326,To Live (Huozhe) (1994),Drama,A Drama film.
327,Tank Girl (1995),Action|Comedy|Sci-Fi,A Action and Comedy and Sci-Fi film.
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,A Horror and Thriller film.
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,A Adventure and Drama and Sci-Fi film.
330,Tales from the Hood (1995),Action|Crime|Horror,A Action and Crime and Horror film.
331,Tom & Viv (1994),Drama,A Drama film.
332,Village of the Damned (1995),Horror|Sci-Fi,A Horror and Sci-Fi film.
333,Tommy Boy (1995),Comedy,A Comedy film.
334,Vanya on 42nd Street (1994),Drama,A Drama film.
335,Underneath (1995),Mystery|Thriller,A Mystery and Thriller film.
336,"Walking Dead, The (1995)",Drama|War,A Drama and War film.
337,What's Eating Gilbert Grape (1993),Drama,A Drama film.
338,Virtuosity (1995),Action|Sci-Fi|Thriller,A Action and Sci-Fi and Thriller film.
339,While You Were Sleeping (1995),Comedy|Romance,A Comedy and Romance film.
340,"War, The (1994)",Adventure|Drama|War,A Adventure and Drama and War film.
341,Double Happiness (1994),Drama,A Drama film.
342,Muriel's Wedding (1994),Comedy,A Comedy film.
343,"Baby-Sitters Club, The (1995)",Children,A Children film.
344,Ace Ventura: Pet Detective (1994),Comedy,A Comedy film.
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,A Comedy and Drama film.
346,Backbeat (1993),Drama|Musical,A Drama and Musical film.
347,Bitter Moon (1992),Drama|Film-Noir|Romance,A Drama and Film-Noir and Romance film.
348,Bullets Over Broadway (1994),Comedy,A Comedy film.
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,A Action and Crime and Drama and Thriller film.
350,"Client, The (1994)",Drama|Mystery|Thriller,A Drama and Mystery and Thriller film.
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,A Comedy and Drama and Romance film.
352,Crooklyn (1994),Comedy|Drama,A Comedy and Drama film.
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,A Action and Crime and Fantasy and Thriller film.
354,Cobb (1994),Drama,A Drama film.
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,A Children and Comedy and Fantasy film.
356,Forrest Gump (1994),Comedy|Drama|Romance|War,A Comedy and Drama and Romance and War film.
357,Four Weddings and a Funeral (1994),Comedy|Romance,A Comedy and Romance film.
358,Higher Learning (1995),Drama,A Drama film.
359,I Like It Like That (1994),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
360,I Love Trouble (1994),Action|Comedy,A Action and Comedy film.
361,It Could Happen to You (1994),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
362,"Jungle Book, The (1994)",Adventure|Children|Romance,A Adventure and Children and Romance film.
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,A Documentary film.
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,A Adventure and Animation and Children and Drama and Musical and IMAX film.
365,Little Buddha (1993),Drama,A Drama film.
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller,A Drama and Horror and Mystery and Thriller film.
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,A Action and Comedy and Crime and Fantasy film.
368,Maverick (1994),Adventure|Comedy|Western,A Adventure and Comedy and Western film.
369,Mrs. Parker and the Vicious Circle (1994),Drama,A Drama film.
370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,A Action and Comedy film.
371,"Paper, The (1994)",Comedy|Drama,A Comedy and Drama film.
372,Reality Bites (1994),Comedy|Drama|Romance,A Comedy and Drama and Romance film.
373,Red Rock West (1992),Thriller,A Thriller film.
374,Richie Rich (1994),Children|Comedy,A Children and Comedy film.
376,"River Wild, The (1994)",Action|Thriller,A Action and Thriller film.
377,Speed (1994),Action|Romance|Thriller,A Action and Romance and Thriller film.
378,Speechless (1994),Comedy|Romance,A Comedy and Romance film.
379,Timecop (1994),Action|Sci-Fi|Thriller,A Action and Sci-Fi and Thriller film.
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,A Action and Adventure and Comedy and Romance and Thriller film.
381,When a Man Loves a Woman (1994),Drama|Romance,A Drama and Romance film.
382,Wolf (1994),Drama|Horror|Romance|Thriller,A Drama and Horror and Romance and Thriller film.
383,Wyatt Earp (1994),Western,A Western film.
384,Bad Company (1995),Action|Crime|Drama,A Action and Crime and Drama film.
385,"Man of No Importance, A (1994)",Drama,A Drama film.
386,S.F.W. (1994),Drama,A Drama film.
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,A Action and Comedy film.
388,Boys Life (1995),Drama,A Drama film.
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,A Drama and Romance and War film.
390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,A Action and Crime and Drama film.
391,Jason's Lyric (1994),Crime|Drama,A Crime and Drama film.
393,Street Fighter (1994),Action|Adventure|Fantasy,A Action and Adventure and Fantasy film.
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy,A Action and Fantasy film.
406,Federal Hill (1994),Drama,A Drama film.
407,In the Mouth of Madness (1995),Horror|Thriller,A Horror and Thriller film.
408,8 Seconds (1994),Drama,A Drama film.
409,Above the Rim (1994),Crime|Drama,A Crime and Drama film.
410,Addams Family Values (1993),Children|Comedy|Fantasy,A Children and Comedy and Fantasy film.
412,"Age of Innocence, The (1993)",Drama,A Drama film.
413,Airheads (1994),Comedy,A Comedy film.
414,"Air Up There, The (1994)",Comedy,A Comedy film.
415,Another Stakeout (1993),Comedy|Thriller,A Comedy and Thriller film.
416,Bad Girls (1994),Western,A Western film.
417,Barcelona (1994),Comedy|Romance,A Comedy and Romance film.
418,Being Human (1993),Drama,A Drama film.
419,"Beverly Hillbillies, The (1993)",Comedy,A Comedy film.
420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,A Action and Comedy and Crime and Thriller film.
421,Black Beauty (1994),Adventure|Children|Drama,A Adventure and Children and Drama film.
422,Blink (1994),Thriller,A Thriller film.
423,Blown Away (1994),Action|Thriller,A Action and Thriller film.
424,Blue Chips (1994),Drama,A Drama film.
425,Blue Sky (1994),Drama|Romance,A Drama and Romance film.
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,A Horror and Sci-Fi and Thriller film.
